model	row_id	language	marker_text	foil_marker_text	gold_logprob_mean	foil_logprob_mean	gold_logprob_sum	foil_logprob_sum	gold_tokens	foil_tokens	delta_mean	gold_preferred	polarity	evidence	marker_morphosyntax
EleutherAI/gpt-neo-125M	modal_0469	English	[More- -- more li]kely than not	apparently	-6.177282788536766	-11.82617473602295	-67.95011067390442	-11.82617473602295	11.0	1.0	5.648891947486184	True	positive	no_evidence	lexicon_adverb
EleutherAI/gpt-neo-125M	modal_0474	English	in ef]fect	Really?	-3.5289954702422053	-3.3895648789520445	-102.34086863702396	-88.12868685275316	29.0	26.0	-0.13943059129016078	False	positive	reported	lexicon_adverb
EleutherAI/gpt-neo-125M	modal_0526	English	probably	maybe	-3.6238313019275665	-3.7873892188072205	-14.495325207710266	-15.149556875228882	4.0	4.0	0.16355791687965393	True	positive	no_evidence	lexicon_adverb
EleutherAI/gpt-neo-125M	modal_0530	English	of course	probably	-2.997915493013958	-4.101641953643411	-17.98749295808375	-20.508209768217057	6.0	5.0	1.1037264606294532	True	positive	no_evidence	lexicon_adverb
EleutherAI/gpt-neo-125M	modal_0562	English	Really?	possibly	-2.794218808412552	-14.295823097229004	-5.588437616825104	-14.295823097229004	2.0	1.0	11.501604288816452	True	positive	no_evidence	lexicon_adverb
EleutherAI/gpt-neo-125M	modal_0575	English	probably	in ef]fect	-3.589635355131967	-6.714691649783742	-25.127447485923767	-73.86160814762115	7.0	11.0	3.125056294651775	True	positive	no_evidence	lexicon_adverb
EleutherAI/gpt-neo-125M	modal_0578	English	probably	basically	-2.948190132776896	-4.514514207839966	-8.844570398330688	-13.543542623519897	3.0	3.0	1.5663240750630698	True	positive	no_evidence	lexicon_adverb
EleutherAI/gpt-neo-125M	modal_0603	English	apparently	maybe	-7.157870531082153	-7.130033493041992	-14.315741062164307	-14.260066986083984	2.0	2.0	-0.027837038040161133	False	neutral	no_evidence	lexicon_adverb
EleutherAI/gpt-neo-125M	modal_0629	English	possibly	probably	-4.318564585277012	-4.1543208701269965	-30.229952096939087	-29.080246090888977	7.0	7.0	-0.16424371515001557	False	neutral	no_evidence	lexicon_adverb
EleutherAI/gpt-neo-125M	modal_0671	English	probably	in ef]fect	-2.7436386744181314	-5.61495740711689	-16.46183204650879	-56.1495740711689	6.0	10.0	2.8713187326987586	True	positive	no_evidence	lexicon_adverb
EleutherAI/gpt-neo-125M	modal_0675	English	definitely	apparently	-4.642977748332279	-4.899952685327402	-32.50084423832595	-34.299668797291815	7.0	7.0	0.25697493699512286	True	positive	no_evidence	lexicon_adverb
EleutherAI/gpt-neo-125M	modal_0710	English	like you say	obviously	-3.035286331020126	-3.162661496788496	-66.77629928244278	-63.25322993576992	22.0	20.0	0.12737516576836994	True	positive	reported	lexicon_adverb
EleutherAI/gpt-neo-125M	modal_0711	English	maybe	apparently	-2.861791662896346	-3.09417872456221	-54.374041595030576	-58.78939576668199	19.0	19.0	0.2323870616658641	True	positive	no_evidence	lexicon_adverb
EleutherAI/gpt-neo-125M	modal_0712	English	maybe	basically	-3.041182202100754	-3.4087296664714812	-30.411822021007538	-34.08729666471481	10.0	10.0	0.3675474643707273	True	positive	no_evidence	lexicon_adverb
EleutherAI/gpt-neo-125M	modal_0713	English	probably	apparently	-3.0658439733088017	-4.581590436398983	-12.263375893235207	-18.326361745595932	4.0	4.0	1.5157464630901814	True	positive	no_evidence	lexicon_adverb
EleutherAI/gpt-neo-125M	modal_0739	English	probably	apparently	-3.8314951956272125	-4.667274281382561	-15.32598078250885	-18.669097125530243	4.0	4.0	0.8357790857553482	True	positive	no_evidence	lexicon_adverb
EleutherAI/gpt-neo-125M	modal_0742	English	probably	Really?	-3.566430516820401	-4.706629519266161	-35.66430516820401	-51.77292471192777	10.0	11.0	1.14019900244576	True	positive	no_evidence	lexicon_adverb
EleutherAI/gpt-neo-125M	modal_0745	English	Maybe	probably	-5.50039485452645	-5.329811042795579	-99.00710738147609	-95.93659877032042	18.0	18.0	-0.17058381173087067	False	positive	no_evidence	lexicon_adverb
EleutherAI/gpt-neo-125M	modal_0885	French	forcément	tout à fait	-4.063732122381528	-2.007908593863249	-12.191196367144585	-10.039542969316244	3.0	5.0	-2.055823528518279	False	positive	inferential	lexicon_adverb
EleutherAI/gpt-neo-125M	modal_0888	French	à mes yeux	absolument	-2.3412407080998974	-2.3157081412355183	-39.801092037698254	-37.05133025976829	17.0	16.0	-0.025532566864379103	False	positive	inferential	lexicon_adverb
EleutherAI/gpt-neo-125M	modal_0906	French	vraiment	peut-être	-2.331506436035852	-2.200240100016041	-93.26025744143408	-92.41008420067374	40.0	42.0	-0.13126633601981075	False	positive	no_evidence	lexicon_adverb
EleutherAI/gpt-neo-125M	modal_0907	French	pour moi	forcément	-2.240496442430991	-2.375581507914996	-73.93638260022271	-78.39418976119487	33.0	33.0	0.13508506548400456	True	positive	no_evidence	lexicon_adverb
EleutherAI/gpt-neo-125M	modal_0916	French	effectivement	franchement	-6.6005960665643215	-5.278702020645142	-13.201192133128643	-15.836106061935425	2.0	3.0	-1.32189404591918	False	positive	situated	lexicon_adverb
EleutherAI/gpt-neo-125M	modal_0922	French	forcément	exactement	-1.8381909909658134	-2.251558255997952	-11.02914594579488	-11.25779127998976	6.0	5.0	0.4133672650321385	True	positive	inferential	lexicon_adverb
EleutherAI/gpt-neo-125M	modal_0979	French	peut être	si tu as vu	-2.081593274245582	-4.235511322816213	-12.489559645473491	-25.413067936897278	6.0	6.0	2.1539180485706306	True	positive	inferential	lexicon_adverb
EleutherAI/gpt-neo-125M	modal_0996	French	vraiment	pour vous	-2.370142164151831	-2.7238292636401535	-42.66255895473296	-49.02892674552277	18.0	18.0	0.35368709948832233	True	positive	inferential	lexicon_adverb
EleutherAI/gpt-neo-125M	modal_0997	French	quand j'ai voulu regarder	si tu as vu	-2.5700673405124026	-2.6689214980034457	-169.62444447381858	-165.47313287621364	66.0	62.0	0.0988541574910431	True	positive	situated	lexicon_adverb
EleutherAI/gpt-neo-125M	modal_1002	French	peut-être	mon avis	-2.117067334117989	-2.8822002726463745	-31.75601001176983	-37.46860354440287	15.0	13.0	0.7651329385283856	True	neutral	inferential	lexicon_adverb
EleutherAI/gpt-neo-125M	modal_1009	French	selon lui	si tu as vu	-2.439438210520893	-3.3252148428423838	-24.394382105208933	-36.57736327126622	10.0	11.0	0.8857766323214906	True	positive	no_evidence	lexicon_adverb
EleutherAI/gpt-neo-125M	modal_1010	French	selon lui	peut-être	-3.4040862263523435	-3.1552322940842714	-64.67763830069453	-63.10464588168543	19.0	20.0	-0.24885393226807206	False	positive	no_evidence	lexicon_adverb
EleutherAI/gpt-neo-125M	modal_1018	French	pour moi	effectivement	-2.606187757762984	-2.7593043675380096	-75.57944497512653	-77.26052229106426	29.0	28.0	0.1531166097750254	True	positive	no_evidence	lexicon_adverb
EleutherAI/gpt-neo-125M	modal_1020	French	selon Olivier Carré	oh bah sans doute	-2.9899913422763347	-4.213142318961521	-14.949956711381674	-25.278853913769126	5.0	6.0	1.223150976685186	True	positive	reported	lexicon_adverb
EleutherAI/gpt-neo-125M	modal_1027	French	évidemment	à mon avis	-3.2603442260704467	-3.390636739617912	-65.20688452140894	-67.81273479235824	20.0	20.0	0.1302925135474653	True	positive	no_evidence	lexicon_adverb
EleutherAI/gpt-neo-125M	modal_1030	French	peut-être	si tu as vu	-2.047551401219001	-2.727055095359295	-49.14123362925602	-65.44932228862308	24.0	24.0	0.6795036941402941	True	positive	no_evidence	lexicon_adverb
EleutherAI/gpt-neo-125M	modal_1032	French	peut-être	pour dire	-2.2182383468876092	-3.058742984319511	-57.67419701907784	-70.35108863934875	26.0	23.0	0.8405046374319016	True	positive	no_evidence	lexicon_adverb
EleutherAI/gpt-neo-125M	modal_1057	French	absolument	à mon avis	-3.434414869795243	-3.0458349101245403	-10.303244609385729	-12.183339640498161	3.0	4.0	-0.38857995967070247	False	positive	no_evidence	lexicon_adverb
EleutherAI/gpt-neo-125M	modal_1067	French	comme euh euh tu le disais	peut-être	-3.422407440148385	-3.0691241069790625	-140.31870504608378	-110.48846785124624	41.0	36.0	-0.3532833331693226	False	positive	reported	lexicon_adverb
EleutherAI/gpt-neo-125M	modal_1093	French	franchement	oh bah sans doute	-3.3526800177060068	-3.664773682622533	-53.64288028329611	-69.63069996982813	16.0	19.0	0.31209366491652624	True	positive	no_evidence	lexicon_adverb
EleutherAI/gpt-neo-125M	modal_1099	French	pour vous	peut-être	-2.044892266392708	-1.51257598324446	-6.1346767991781235	-7.5628799162223	3.0	5.0	-0.5323162831482477	False	neutral	no_evidence	lexicon_adverb
EleutherAI/gpt-neo-125M	modal_1115	French	peut-être	pour vous	-1.6820584398394982	-3.9573215425014494	-11.774409078876488	-19.786607712507248	7.0	5.0	2.275263102661951	True	positive	no_evidence	lexicon_adverb
EleutherAI/gpt-neo-125M	modal_1129	French	vraiment	peut-être	-4.454689050714175	-3.7594240160792003	-53.4562686085701	-52.6319362251088	12.0	14.0	-0.6952650346349749	False	positive	no_evidence	lexicon_adverb
EleutherAI/gpt-neo-125M	modal_1137	French	mon avis	oh bah sans doute	-5.343602109700441	-5.4178110758463545	-32.06161265820265	-48.76029968261719	6.0	9.0	0.0742089661459131	True	positive	no_evidence	lexicon_adverb
EleutherAI/gpt-neo-125M	modal_1143	French	peut-être	forcément	-2.05772955249995	-4.145972354337573	-14.40410686749965	-20.729861771687865	7.0	5.0	2.088242801837623	True	positive	no_evidence	lexicon_adverb
EleutherAI/gpt-neo-125M	modal_1147	French	exactement	à mon avis	-5.158997502177954	-3.339695733040571	-10.317995004355907	-13.358782932162285	2.0	4.0	-1.8193017691373825	False	positive	no_evidence	lexicon_adverb
EleutherAI/gpt-neo-125M	modal_1148	French	exactement	forcément	-5.68733174353838	-5.4008200106521445	-11.37466348707676	-16.202460031956434	2.0	3.0	-0.2865117328862352	False	positive	no_evidence	lexicon_adverb
EleutherAI/gpt-neo-125M	modal_1160	French	comme disait Bertrand	absolument	-3.093085582057635	-3.29239501307408	-18.55851349234581	-9.87718503922224	6.0	3.0	0.19930943101644516	True	positive	reported	lexicon_adverb
EleutherAI/gpt-neo-125M	modal_1179	French	peut-être	pour dire	-0.9621947035193443	-5.073164463043213	-4.810973517596722	-10.146328926086426	5.0	2.0	4.110969759523869	True	positive	no_evidence	lexicon_adverb
EleutherAI/gpt-neo-125M	modal_1180	French	peut-être	vraiment	-0.3851317550987005	-1.9831644321481388	-1.9256587754935026	-5.949493296444416	5.0	3.0	1.5980326770494382	True	neutral	no_evidence	lexicon_adverb
EleutherAI/gpt-neo-125M	modal_1193	French	peut-être	vraiment	-2.211207946387662	-2.3283638505576985	-117.1940211585461	-118.74655637844262	53.0	51.0	0.11715590417003652	True	neutral	no_evidence	lexicon_adverb
EleutherAI/gpt-neo-125M	modal_1205	French	comme disait Bertrand	exactement	-4.349465435991685	-4.1915300861001015	-26.096792615950108	-8.383060172200203	6.0	2.0	-0.15793534989158342	False	positive	reported	lexicon_adverb
EleutherAI/gpt-neo-125M	modal_1260	French	à chaque fois	tout à fait	-3.3867530932869103	-3.2188437622697914	-57.57480258587748	-54.720343958586454	17.0	17.0	-0.1679093310171189	False	positive	reported	lexicon_adverb
EleutherAI/gpt-neo-125M	modal_1290	French	vraiment	absolument	-3.5132553935050965	-4.114126478135586	-17.566276967525482	-20.57063239067793	5.0	5.0	0.6008710846304894	True	positive	inferential	lexicon_adverb
EleutherAI/gpt-neo-125M	modal_1299	French	peut-être	selon lui	-2.263437187102122	-3.1572394072233387	-29.424683432327583	-37.88687288668007	13.0	12.0	0.8938022201212168	True	neutral	inferential	lexicon_adverb
EleutherAI/gpt-neo-125M	modal_1308	French	vraiment	oh bah sans doute	-2.40182813256979	-3.6373548748947324	-43.23290638625622	-76.38445237278938	18.0	21.0	1.2355267423249425	True	positive	no_evidence	lexicon_adverb
EleutherAI/gpt-neo-125M	modal_1335	French	peut-être	selon lui	-2.3525550956449783	-4.41147141456604	-14.11533057386987	-22.0573570728302	6.0	5.0	2.0589163189210615	True	positive	inferential	lexicon_adverb
EleutherAI/gpt-neo-125M	modal_1367	French	oh bah sans doute	selon Olivier Carré	-3.760324531545242	-7.168894982337951	-22.56194718927145	-35.84447491168976	6.0	5.0	3.4085704507927095	True	negative	no_evidence	lexicon_adverb
EleutherAI/gpt-neo-125M	modal_1369	French	peut-être	tout à fait	-1.8945216007784687	-2.5513323464176874	-20.839737608563155	-28.06465581059456	11.0	11.0	0.6568107456392187	True	positive	inferential	lexicon_adverb
EleutherAI/gpt-neo-125M	modal_1387	French	exactement	peut-être	-2.6469485698733477	-1.1627006851267652	-13.23474284936674	-9.301605481014121	5.0	8.0	-1.4842478847465825	False	positive	no_evidence	lexicon_adverb
EleutherAI/gpt-neo-125M	modal_1498	French	pour dire	peut-être	-2.3521247705341213	-2.2426103452249153	-127.01473760884255	-127.82878967782017	54.0	57.0	-0.10951442530920596	False	positive	reported	lexicon_adverb
EleutherAI/gpt-neo-125M	modal_1515	French	tout à fait	franchement	-2.7013268366456034	-5.5406173666318255	-13.506634183228016	-16.621852099895477	5.0	3.0	2.839290529986222	True	positive	no_evidence	lexicon_adverb
EleutherAI/gpt-neo-125M	modal_1525	French	peut-être	pour dire	-2.354048903869546	-3.031063730828464	-54.14312478899956	-60.62127461656928	23.0	20.0	0.677014826958918	True	positive	inferential	lexicon_adverb
EleutherAI/gpt-neo-125M	modal_1526	French	éventuellement	exactement	-3.1409558951854706	-4.967671521008015	-12.563823580741882	-9.93534304201603	4.0	2.0	1.826715625822544	True	positive	inferential	lexicon_adverb
EleutherAI/gpt-neo-125M	modal_1576	French	forcément	pour vous	-1.9516827228168647	-1.987323753380527	-23.420192673802376	-23.847885040566325	12.0	12.0	0.0356410305636623	True	positive	inferential	lexicon_adverb
EleutherAI/gpt-neo-125M	modal_1616	French	comme tu le croyais	oh bah sans doute	-2.997818990477494	-5.310782889525096	-20.984732933342457	-31.864697337150574	7.0	6.0	2.312963899047602	True	positive	reported	lexicon_adverb
EleutherAI/gpt-neo-125M	modal_1618	French	peut-être	selon lui	-2.3480063772083004	-3.5879183852113785	-25.828070149291307	-35.87918385211378	11.0	10.0	1.239912008003078	True	positive	inferential	lexicon_adverb
EleutherAI/gpt-neo-125M	modal_1624	French	si tu as vu	à mes yeux	-4.030343961715698	-4.03821383160539	-20.15171980857849	-16.15285532642156	5.0	4.0	0.007869869889691294	True	neutral	situated	lexicon_adverb
EleutherAI/gpt-neo-125M	modal_1626	French	à mon avis	évidemment	-4.018727950565517	-3.488673372939229	-40.18727950565517	-34.88673372939229	10.0	10.0	-0.5300545776262879	False	positive	inferential	lexicon_adverb
EleutherAI/gpt-neo-125M	modal_1756	French	à mon avis	franchement	-4.775716612736384	-5.600777986459434	-42.98144951462746	-44.80622389167547	9.0	8.0	0.8250613737230497	True	positive	inferential	lexicon_adverb
EleutherAI/gpt-neo-125M	modal_1955	French	franchement	oh bah sans doute	-3.9200636265533313	-3.92923950228621	-54.880890771746635	-66.79707153886557	14.0	17.0	0.009175875732878591	True	positive	inferential	lexicon_adverb
EleutherAI/gpt-neo-125M	modal_2005	French	franchement	tout à fait	-3.3073017853312194	-2.36621225848794	-26.458414282649755	-23.6621225848794	8.0	10.0	-0.9410895268432795	False	positive	inferential	lexicon_adverb
EleutherAI/gpt-neo-125M	modal_2007	French	à mon avis	exactement	-2.7997358629635225	-2.8846147967627846	-41.99603794445284	-37.4999923579162	15.0	13.0	0.08487893379926215	True	positive	inferential	lexicon_adverb
EleutherAI/gpt-neo-125M	modal_2011	French	à mon avis	absolument	-3.2483843489389983	-3.5266936207490582	-103.94829916604795	-109.3275022432208	32.0	31.0	0.27830927181005993	True	positive	inferential	lexicon_adverb
EleutherAI/gpt-neo-125M	modal_2032	French	apparemment	peut-être	-2.9196475204080343	-1.3731643721461295	-11.678590081632137	-6.865821860730648	4.0	5.0	-1.5464831482619048	False	positive	inferential	lexicon_adverb
EleutherAI/gpt-neo-125M	modal_2109	Italian	in effetti	forse	-3.1812527686124668	-3.3309120556906513	-76.3500664466992	-76.61097728088498	24.0	23.0	0.14965928707818454	True	positive	no_evidence	lexicon_adverbial
EleutherAI/gpt-neo-125M	modal_2145	Italian	come diceva prima lei	forse	-4.457086186323847	-4.774607002735138	-31.19960330426693	-9.549214005470276	7.0	2.0	0.3175208164112906	True	positive	reported	lexicon_adverbial
EleutherAI/gpt-neo-125M	modal_2149	Italian	forse	come diceva prima lei	-2.7694995556323025	-2.145926511264406	-30.46449511195533	-34.3348241802305	11.0	16.0	-0.6235730443678964	False	neutral	inferential	lexicon_adverbial
EleutherAI/gpt-neo-125M	modal_2151	Italian	forse	in realta'	-4.250783562660217	-4.912748456001282	-8.501567125320435	-19.650993824005127	2.0	4.0	0.6619648933410645	True	neutral	inferential	lexicon_adverbial
EleutherAI/gpt-neo-125M	modal_2154	Italian	se devo dire la verita'	forse	-2.9672780938446524	-2.863229738681444	-59.34556187689304	-40.08521634154022	20.0	14.0	-0.10404835516320832	False	positive	reported	lexicon_adverbial
EleutherAI/gpt-neo-125M	modal_2167	Italian	se non sbaglio	forse	-3.5289916988078724	-3.494596750575251	-59.99285887973383	-48.92435450805351	17.0	14.0	-0.03439494823262157	False	positive	no_evidence	lexicon_adverbial
EleutherAI/gpt-neo-125M	modal_2171	Italian	in realta'	forse	-4.8969950675964355	-3.5798962712287903	-19.587980270385742	-7.159792542457581	4.0	2.0	-1.3170987963676453	False	positive	no_evidence	lexicon_adverbial
EleutherAI/gpt-neo-125M	modal_2173	Italian	in realta'	probabilmente	-2.9397377433876195	-2.678069479103821	-26.457639690488577	-24.10262531193439	9.0	9.0	-0.26166826428379864	False	positive	no_evidence	lexicon_adverbial
EleutherAI/gpt-neo-125M	modal_2174	Italian	in realta'	come diceva prima lei	-2.989835974258872	-3.879126495216042	-38.86786766536534	-62.06602392345667	13.0	16.0	0.8892905209571698	True	positive	no_evidence	lexicon_adverbial
EleutherAI/gpt-neo-125M	modal_2193	Italian	forse	in realta'	-3.490430798133214	-4.08483171988936	-52.356461971998215	-69.44213923811913	15.0	17.0	0.5944009217561459	True	neutral	inferential	lexicon_adverbial
EleutherAI/gpt-neo-125M	modal_2201	Italian	come sa	magari	-5.599156856536865	-4.480605125427246	-11.19831371307373	-8.961210250854492	2.0	2.0	-1.1185517311096191	False	positive	no_evidence	lexicon_adverbial
EleutherAI/gpt-neo-125M	modal_2226	Italian	forse	secondo me	-3.1537976463635764	-3.378723438296999	-18.922785878181458	-23.651064068078995	6.0	7.0	0.22492579193342266	True	neutral	inferential	lexicon_adverbial
EleutherAI/gpt-neo-125M	modal_2246	Italian	forse	secondo me	-3.278811542524232	-3.655398091673851	-29.509303882718086	-36.55398091673851	9.0	10.0	0.3765865491496192	True	neutral	inferential	lexicon_adverbial
EleutherAI/gpt-neo-125M	modal_2248	Italian	evidentemente	in realta'	-4.589240586385131	-5.6329726576805115	-13.767721759155393	-22.531890630722046	3.0	4.0	1.0437320712953806	True	positive	inferential	lexicon_adverbial
EleutherAI/gpt-neo-125M	modal_2363	Italian	forse	come sa	-3.8922746777534485	-5.7106006145477295	-7.784549355506897	-11.421201229095459	2.0	2.0	1.818325936794281	True	neutral	inferential	lexicon_adverbial
EleutherAI/gpt-neo-125M	modal_2365	Italian	testualmente	forse	-3.3694168175993995	-3.318718930291652	-222.38150996156037	-212.39801153866574	66.0	64.0	-0.05069788730774727	False	positive	reported	lexicon_adverbial
EleutherAI/gpt-neo-125M	modal_2368	Italian	probabilmente	secondo me	-2.6821568725281395	-4.518952707449595	-18.775098107696977	-27.11371624469757	7.0	6.0	1.836795834921456	True	neutral	inferential	lexicon_adverbial
EleutherAI/gpt-neo-125M	modal_2371	Italian	in realta'	forse	-4.188699563082896	-4.1100192543338325	-79.58529169857502	-69.87032732367516	19.0	17.0	-0.07868030874906307	False	positive	no_evidence	lexicon_adverbial
EleutherAI/gpt-neo-125M	modal_2389	Italian	forse	probabilmente	-3.2066184412688017	-2.6927244863007216	-25.652947530150414	-26.927244863007218	8.0	10.0	-0.5138939549680801	False	neutral	no_evidence	lexicon_adverbial
EleutherAI/gpt-neo-125M	modal_2469	Italian	probabilmente	magari	-2.625064791413024	-3.290643200278282	-21.000518331304193	-19.743859201669693	8.0	6.0	0.6655784088652581	True	positive	inferential	lexicon_adverbial
EleutherAI/gpt-neo-125M	modal_2518	Italian	forse	come diceva prima lei	-2.67075852395501	-3.4157286909098428	-26.7075852395501	-51.23593036364764	10.0	15.0	0.744970166954833	True	neutral	no_evidence	lexicon_adverbial
EleutherAI/gpt-neo-125M	modal_2525	Italian	conoscendo il tipo	forse	-2.7454597236854688	-3.2086934745311737	-19.218218065798283	-6.417386949062347	7.0	2.0	0.46323375084570495	True	positive	no_evidence	lexicon_adverbial
EleutherAI/gpt-neo-125M	modal_2539	Italian	veramente	forse	-2.89177775879701	-3.637407511472702	-8.67533327639103	-7.274815022945404	3.0	2.0	0.7456297526756921	True	positive	no_evidence	lexicon_adverbial
EleutherAI/gpt-neo-125M	modal_2570	Italian	magari	come diceva prima lei	-3.609892720149623	-4.193439493221896	-32.48903448134661	-58.708152905106544	9.0	14.0	0.583546773072273	True	neutral	no_evidence	lexicon_adverbial
EleutherAI/gpt-neo-125M	modal_2598	Italian	magari	come sa	-4.5872993022203445	-4.780716371536255	-45.872993022203445	-47.80716371536255	10.0	10.0	0.19341706931591052	True	neutral	no_evidence	lexicon_adverbial
EleutherAI/gpt-neo-125M	modal_2616	Italian	secondo me	forse	-3.053242114869257	-2.968816320145769	-45.79863172303885	-41.56342848204076	15.0	14.0	-0.08442579472348788	False	positive	no_evidence	lexicon_adverbial
EleutherAI/gpt-neo-125M	modal_2629	Italian	se chiedi a XYZ	magari	-3.8693832780837134	-3.7259918600320816	-65.77951572742313	-44.71190232038498	17.0	12.0	-0.1433914180516318	False	positive	reported	lexicon_adverbial
EleutherAI/gpt-neo-125M	modal_2653	Italian	secondo me	in realta'	-4.3482358902692795	-5.277171611785889	-47.830594792962074	-63.326059341430664	11.0	12.0	0.9289357215166092	True	positive	no_evidence	lexicon_adverbial
EleutherAI/gpt-neo-125M	modal_2655	Italian	secondo me	come diceva prima lei	-3.7773413211107254	-3.781791737768799	-75.54682642221451	-90.76300170645118	20.0	24.0	0.004450416658073664	True	positive	no_evidence	lexicon_adverbial
EleutherAI/gpt-neo-125M	modal_2732	Italian	magari	veramente	-2.9052862458862365	-2.4270169958048924	-29.052862458862364	-26.697186953853816	10.0	11.0	-0.47826925008134413	False	positive	inferential	lexicon_adverbial
EleutherAI/gpt-neo-125M	modal_2749	Italian	secondo me	magari	-4.144111913761923	-4.430866630031512	-58.01756679266691	-57.60126619040966	14.0	13.0	0.2867547162695896	True	positive	no_evidence	lexicon_adverbial
EleutherAI/gpt-neo-125M	modal_2779	Italian	secondo te	probabilmente	-4.877981503804524	-3.022460323802079	-14.633944511413574	-12.089841295208316	3.0	4.0	-1.8555211800024454	False	positive	no_evidence	lexicon_adverbial
EleutherAI/gpt-neo-125M	modal_2780	Italian	secondo me	magari	-2.993600754236633	-2.979101148992777	-32.929608296602964	-29.79101148992777	11.0	10.0	-0.014499605243856184	False	positive	no_evidence	lexicon_adverbial
EleutherAI/gpt-neo-125M	modal_2782	Italian	a dir la verita'	forse	-5.681777000427246	-3.62732844799757	-34.09066200256348	-7.25465689599514	6.0	2.0	-2.054448552429676	False	positive	no_evidence	lexicon_adverbial
EleutherAI/gpt-neo-125M	modal_2804	Italian	magari	in realta'	-4.160397829754012	-4.436609056260851	-29.122784808278084	-39.929481506347656	7.0	9.0	0.27621122650683905	True	neutral	no_evidence	lexicon_adverbial
EleutherAI/gpt-neo-125M	modal_2818	Italian	secondo me	forse	-3.3987296016088555	-3.324646391802364	-95.16442884504795	-89.76545257866383	28.0	27.0	-0.07408320980649163	False	positive	no_evidence	lexicon_adverbial
Qwen/Qwen3-0.6B	modal_0000	English	maybe	probably	-3.479914483924707	-4.226352425913016	-20.87948690354824	-25.358114555478096	6.0	6.0	0.7464379419883094	True	positive	inferential	lexicon_adverb
Qwen/Qwen3-0.6B	modal_0029	English	probably	apparently	-2.3792281448841095	-3.4664333797991276	-19.033825159072876	-27.73146703839302	8.0	8.0	1.087205234915018	True	positive	inferential	lexicon_adverb
Qwen/Qwen3-0.6B	modal_0032	English	as you know	in ef]fect	-4.0602209482874185	-5.967912451426188	-56.843093276023865	-89.51868677139282	14.0	15.0	1.9076915031387696	True	positive	no_evidence	lexicon_adverb
Qwen/Qwen3-0.6B	modal_0037	English	apparently	possibly	-10.862831115722656	-11.586825370788574	-10.862831115722656	-11.586825370788574	1.0	1.0	0.723994255065918	True	positive	reported	lexicon_adverb
Qwen/Qwen3-0.6B	modal_0040	English	obviously	in ef]fect	-4.63641619682312	-8.472022914886475	-9.27283239364624	-42.36011457443237	2.0	5.0	3.835606718063355	True	positive	inferential	lexicon_adverb
Qwen/Qwen3-0.6B	modal_0041	English	apparently	probably	-5.98459347656795	-5.281309315136501	-41.89215433597565	-36.969165205955505	7.0	7.0	-0.7032841614314487	False	positive	reported	lexicon_adverb
Qwen/Qwen3-0.6B	modal_0062	English	probably	possibly	-3.968885898590088	-5.9999144077301025	-7.937771797180176	-11.999828815460205	2.0	2.0	2.0310285091400146	True	positive	inferential	lexicon_adverb
Qwen/Qwen3-0.6B	modal_0082	English	apparently	probably	-4.365172273733399	-4.550921109589663	-96.03379002213478	-100.1202644109726	22.0	22.0	0.18574883585626445	True	positive	reported	lexicon_adverb
Qwen/Qwen3-0.6B	modal_0090	English	apparently	probably	-3.0818741023540497	-3.105823865532875	-30.818741023540497	-31.05823865532875	10.0	10.0	0.023949763178825467	True	positive	reported	lexicon_adverb
Qwen/Qwen3-0.6B	modal_0094	English	maybe	basically	-2.452179342508316	-4.353988806406657	-14.713076055049896	-26.12393283843994	6.0	6.0	1.9018094638983412	True	positive	situated	lexicon_adverb
Qwen/Qwen3-0.6B	modal_0106	English	basically	probab	-4.067903172402155	-5.112839412960139	-85.42596662044525	-112.48246708512306	21.0	22.0	1.044936240557984	True	positive	no_evidence	lexicon_adverb
Qwen/Qwen3-0.6B	modal_0107	English	maybe	probably	-3.8493116060449717	-3.9526723929577403	-69.28760890880949	-71.14810307323933	18.0	18.0	0.10336078691276862	True	positive	situated	lexicon_adverb
Qwen/Qwen3-0.6B	modal_0123	English	basically	like you say	-3.0485989710441572	-3.026190226607415	-97.55516707341303	-102.89046770465211	32.0	34.0	-0.022408744436742012	False	positive	no_evidence	lexicon_adverb
Qwen/Qwen3-0.6B	modal_0214	English	probab	maybe	-9.861996054649353	-6.184122085571289	-19.723992109298706	-6.184122085571289	2.0	1.0	-3.677873969078064	False	positive	inferential	lexicon_adverb
Qwen/Qwen3-0.6B	modal_0281	English	Maybe	probab	-4.139475107192993	-8.766522645950317	-12.41842532157898	-35.06609058380127	3.0	4.0	4.627047538757324	True	positive	no_evidence	lexicon_adverb
Qwen/Qwen3-0.6B	modal_0451	English	unless I'm wrong	basically	-3.6791116722023993	-4.146413535045992	-62.544898427440785	-58.04978949064389	17.0	14.0	0.467301862843593	True	positive	inferential	lexicon_adverb
Qwen/Qwen3-0.6B	modal_0469	English	[More- -- more li]kely than not	apparently	-5.379651709036394	-13.105863571166992	-59.17616879940033	-13.105863571166992	11.0	1.0	7.726211862130598	True	positive	no_evidence	lexicon_adverb
Qwen/Qwen3-0.6B	modal_0474	English	in ef]fect	Really?	-3.9842628473725874	-3.7972210666514004	-107.57509687905986	-94.930526666285	27.0	25.0	-0.18704178072118705	False	positive	reported	lexicon_adverb
